               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.030505,            0.010156,                   0,             0.84603,                   1,             0.92231,              0.4106,            0.040077,           0.0073987,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.029681,            0.011406,                   0,             0.78461,                   1,             0.91571,              0.4708,            0.036531,           0.0077261,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.028165,            0.011079,                   0,             0.78561,             0.99941,             0.91143,             0.43033,             0.03823,           0.0082033,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.028998,            0.011074,                   0,             0.73315,             0.99913,             0.84546,             0.38939,            0.038523,           0.0079907,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,             0.02818,            0.011014,                   0,             0.73329,                   1,              0.8745,             0.43929,            0.038263,           0.0080396,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.030659,             0.01026,                   0,             0.71406,             0.90909,             0.80559,             0.35513,            0.044121,           0.0080429,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,             0.03604,             0.01174,                   0,             0.79923,             0.72727,             0.76527,             0.38551,            0.037012,           0.0084137,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.032618,            0.010083,                   0,              0.8998,             0.81818,             0.84369,             0.39106,             0.04174,            0.007914,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.029021,             0.01237,                   0,             0.91564,                   1,               0.935,               0.433,            0.037672,           0.0076927,                   0,            0.006238,            0.006238,            0.006238
                  78,             0.03087,            0.011124,                   0,             0.84588,                   1,             0.91331,             0.40719,            0.038657,           0.0078442,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.034266,             0.01231,                   0,             0.76921,             0.90897,             0.79422,             0.37304,            0.036309,           0.0076758,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.031623,            0.010976,                   0,             0.84586,              0.9979,             0.88423,             0.39423,            0.039004,           0.0082053,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.029171,            0.011054,                   0,             0.78554,                   1,             0.84714,              0.4211,            0.035435,           0.0082543,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.026105,            0.010957,                   0,             0.78566,             0.99969,             0.85825,             0.41968,            0.036518,           0.0080501,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.029901,            0.011149,                   0,             0.78554,                   1,             0.82914,             0.38936,            0.037522,           0.0085104,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.026885,            0.010811,                   0,             0.78567,                   1,             0.81114,             0.38096,             0.03516,           0.0084341,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.025344,            0.011896,                   0,             0.71423,             0.90885,             0.72855,              0.3819,             0.03451,           0.0085889,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.025162,           0.0088839,                   0,             0.66661,             0.90889,             0.72232,               0.369,            0.034252,           0.0086347,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.027523,            0.010389,                   0,             0.76918,             0.90886,             0.82939,             0.41169,            0.034901,            0.008819,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.025658,           0.0094285,                   0,             0.71428,             0.90905,             0.81093,             0.39135,            0.033759,           0.0090553,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.027844,            0.011051,                   0,             0.66647,             0.90834,             0.76042,             0.36682,            0.034746,           0.0092134,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.029479,           0.0087321,                   0,             0.69225,             0.81818,             0.73098,             0.38818,            0.033476,           0.0093936,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.032129,            0.011362,                   0,             0.76915,             0.90909,             0.83156,             0.36237,            0.037942,           0.0094565,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.026188,           0.0097736,                   0,             0.69199,             0.81818,             0.75409,             0.42831,            0.032587,           0.0090692,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.025685,            0.010295,                   0,             0.73302,                   1,             0.86257,             0.41981,            0.034483,            0.008756,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.025519,            0.010965,                   0,             0.78561,             0.99943,             0.85591,             0.40512,            0.033601,           0.0085486,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.027263,            0.010841,                   0,             0.71406,             0.90909,             0.82464,             0.44479,            0.032636,           0.0081904,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.027446,            0.010997,                   0,             0.78564,              0.9996,             0.89696,             0.40816,            0.033896,           0.0080443,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.024385,            0.010007,                   0,             0.78563,                   1,             0.89571,             0.39411,             0.03598,           0.0080508,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.025283,             0.01005,                   0,             0.78559,                   1,             0.87714,             0.41647,            0.034218,           0.0082075,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.027759,            0.010165,                   0,             0.78555,                   1,             0.86097,             0.35286,            0.036834,           0.0085294,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.028249,           0.0095491,                   0,             0.78564,             0.99958,             0.87597,               0.463,            0.032295,           0.0083768,                   0,           0.0050995,           0.0050995,           0.0050995
